w1a,w1b,w1c,w1d,w1e,w1f,w1g,w1h,w1i,w1j,w1k,w1l,w1m,w1n,w1o,w1p,w1q,w1r,w1s,w1t,w1u,w1v,w1w,w1x,w1y,w1z,w1aa,w1ab,w2a,w2b,w2c,w2d,w2e,w2f,w2g,w2h,w2i,w2j,w2k,w2l,w2m,w2n,w2o,w2p,w2q,w2r,w2s,w2t,w2u,w2v,w2w,w2x,w2y,w2z,w2aa,w2ab,class
5,1,0,2,4.24,0,0,0,0.5,5,0.4,50,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,2,4.01,0,0,0,1,3,0.333333333,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
4,1,0,1,4.42,0,1,0,1,4,0.25,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,3,3.43,0,0,0,0.666666667,3.5,0.428571429,0,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2
5,1,0,1,4.81,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,4.73,0,1,0,1,4,0.25,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,0,2,4.02,1,0,0,0.5,5,0.4,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,0,3,4.4,1,0,0,0.666666667,3,0.5,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
4,1,0,1,3.62,1,0,0,1,4,0.25,90,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,5.01,0,0,0,1,4,0.25,26,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,0,2,3.91,0,0,0,0.5,5,0.4,74,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,5,3.08,0,0,1,0.8,2.75,0.454545455,0,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
5,1,0,2,4.92,0,0,0,0.5,5,0.4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,3,5.73,0,0,0,0.333333333,5,0.6,84,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,2,0,3,3.8,0,0,0,0.666666667,3.5,0.428571429,93,5,-2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,2,0,2,4.33,0,0,0,1,3,0.333333333,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
7,3,0,3,3.68,0,0,0,1,2.333333333,0.428571429,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,4.5,0,0,0,0.5,4,0.5,91,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,1,0,1,4.45,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,3,4.5,0,0,0,0.333333333,6,0.5,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
